The Book of Mormon ||| El Libro de Mormón
An Account Written by the Hand of Mormon upon Plates Taken from the Plates of Nephi ||| Un relato escrito por la mano de Mormón sobre planchas Tomado de las planchas de Nefi
Wherefore , it is an abridgment of the record of the people of Nephi , and also of the Lamanites — Written to the Lamanites , who are a remnant of the house of Israel ; and also to Jew and Gentile — Written by way of commandment , and also by the spirit of prophecy and of revelation — Written and sealed up , and hid up unto the Lord , that they might not be destroyed — To come forth by the gift and power of God unto the interpretation thereof — Sealed by the hand of Moroni , and hid up unto the Lord , to come forth in due time by way of the Gentile — The interpretation thereof by the gift of God . ||| Por tanto , es un compendio de los anales del pueblo de Nefi , así como de los lamanitas  — Escrito a los lamanitas , quienes son un resto de la casa de Israel , y también a los judíos y a los gentiles  — Escrito por vía de mandamiento , por el espíritu de profecía y de revelación  — Escrito y sellado , y escondido para los fines del Señor , con objeto de que no fuese destruido  — Ha de aparecer por el don y el poder de Dios para que sea interpretado  — Sellado por la mano de Moroni , y escondido para los propósitos del Señor , a fin de que apareciese en el debido tiempo por medio de los gentiles  — A interpretarse por el don de Dios .
An abridgment taken from the Book of Ether also , which is a record of the people of Jared , who were scattered at the time the Lord confounded the language of the people , when they were building a tower to get to heaven — Which is to show unto the remnant of the house of Israel what great things the Lord hath done for their fathers ; and that they may know the covenants of the Lord , that they are not cast off forever — And also to the convincing of the Jew and Gentile that Jesus is the Christ , the Eternal God , manifesting himself unto all nations — And now , if there are faults they are the mistakes of men ; wherefore , condemn not the things of God , that ye may be found spotless at the judgment - seat of Christ . ||| Contiene también un compendio tomado del Libro de Éter , el cual es una relación del pueblo de Jared , que fue esparcido en la ocasión en que el Señor confundió el lenguaje de los del pueblo , cuando estaban edificando una torre para llegar al cielo  — Lo cual sirve para mostrar al resto de la casa de Israel cuán grandes cosas el Señor ha hecho por sus padres ; y para que conozcan los convenios del Señor y sepan que no son ellos desechados para siempre  — Y también para convencer al judío y al gentil de que Jesús es el Cristo , el Eterno Dios , que se manifiesta a sí mismo a todas las naciones  — Y ahora bien , si hay faltas , estas son equivocaciones de los hombres ; por tanto , no condenéis las cosas de Dios , para que aparezcáis sin mancha ante el tribunal de Cristo .
Translated by Joseph Smith , Jun . ||| Traducción original de las planchas al idioma inglés por José Smith , hijo .
Introduction ||| Introducción
The Book of Mormon is a volume of holy scripture comparable to the Bible . It is a record of God ’ s dealings with ancient inhabitants of the Americas and contains the fulness of the everlasting gospel . ||| El Libro de Mormón es un volumen de escritura sagrada semejante a la Biblia . Es una historia de la comunicación de Dios con antiguos habitantes de las Américas y contiene la plenitud del Evangelio eterno .
The book was written by many ancient prophets by the spirit of prophecy and revelation . Their words , written on gold plates , were quoted and abridged by a prophet - historian named Mormon . The record gives an account of two great civilizations . One came from Jerusalem in 600  B . C . and afterward separated into two nations , known as the Nephites and the Lamanites . The other came much earlier when the Lord confounded the tongues at the Tower of Babel . This group is known as the Jaredites . After thousands of years , all were destroyed except the Lamanites , and they are among the ancestors of the American Indians . ||| Escribieron el libro muchos antiguos profetas por el espíritu de profecía y revelación . Sus palabras , escritas sobre planchas de oro , fueron citadas y compendiadas por un profeta e historiador llamado Mormón . El registro contiene un relato de dos grandes civilizaciones . Una llegó procedente de Jerusalén en el año 600  a . C . y tiempo después se dividió en dos naciones conocidas como los nefitas y los lamanitas . La otra había llegado mucho antes , cuando el Señor confundió las lenguas en la Torre de Babel . Este grupo se conoce con el nombre de jareditas . Después de miles de años , todos fueron destruidos con excepción de los lamanitas , los cuales se hallan entre los antecesores de los indios de las Américas .
The crowning event recorded in the Book of Mormon is the personal ministry of the Lord Jesus Christ among the Nephites soon after His resurrection . It puts forth the doctrines of the gospel , outlines the plan of salvation , and tells men what they must do to gain peace in this life and eternal salvation in the life to come . ||| El acontecimiento de mayor trascendencia que se encuentra registrado en el Libro de Mormón es el ministerio personal del Señor Jesucristo entre los nefitas poco después de Su resurrección . En él se expone la doctrina del Evangelio , se describe el plan de salvación , y se dice a los hombres lo que deben hacer para lograr la paz en esta vida y la salvación eterna en la vida venidera .
After Mormon completed his writings , he delivered the account to his son Moroni , who added a few words of his own and hid up the plates in the Hill Cumorah . On September 21, 1823, the same Moroni , then a glorified , resurrected being , appeared to the Prophet Joseph Smith and instructed him relative to the ancient record and its destined translation into the English language . ||| Después de terminar sus escritos , Mormón entregó la historia a su hijo Moroni , el cual le agregó unas palabras y escondió las planchas en el cerro Cumorah . El 21 de septiembre de 1823, el mismo Moroni , para entonces un ser glorificado y resucitado , se le apareció al profeta José Smith y le instruyó concerniente al antiguo registro y a la destinada traducción de este al idioma inglés .
In due course the plates were delivered to Joseph Smith , who translated them by the gift and power of God . The record is now published in many languages as a new and additional witness that Jesus Christ is the Son of the living God and that all who will come unto Him and obey the laws and ordinances of His gospel may be saved . ||| En la ocasión oportuna , se entregaron las planchas a José Smith , quien las tradujo por el don y el poder de Dios . El libro se publica hoy en muchos idiomas como testimonio nuevo y adicional de que Jesucristo es el Hijo del Dios viviente , y de que todos aquellos que quieran venir a Él y obedecer las leyes y las ordenanzas de Su Evangelio podrán salvarse .
Concerning this record the Prophet Joseph Smith said : “ I told the brethren that the Book of Mormon was the most correct of any book on earth , and the keystone of our religion , and a man would get nearer to God by abiding by its precepts , than by any other book .” ||| Concerniente a esta historia , el profeta José Smith dijo : “ Declaré a los hermanos que el Libro de Mormón era el más correcto de todos los libros sobre la tierra , y la piedra clave de nuestra religión ; y que un hombre se acercaría más a Dios al seguir sus preceptos que los de cualquier otro libro ”.
In addition to Joseph Smith , the Lord provided for eleven others to see the gold plates for themselves and to be special witnesses of the truth and divinity of the Book of Mormon . Their written testimonies are included herewith as “ The Testimony of Three Witnesses ” and “ The Testimony of Eight Witnesses .” ||| Además de José Smith , el Señor dispuso que otros once hombres vieran con sus propios ojos las planchas de oro y fueran testigos especiales de la veracidad y de la divinidad del Libro de Mormón . Sus testimonios escritos se incluyen en esta obra bajo los títulos “ El Testimonio de Tres Testigos ” y “ El Testimonio de Ocho Testigos ”.
We invite all men everywhere to read the Book of Mormon , to ponder in their hearts the message it contains , and then to ask God , the Eternal Father , in the name of Christ if the book is true . Those who pursue this course and ask in faith will gain a testimony of its truth and divinity by the power of the Holy Ghost . ( See Moroni 10:3–5.) ||| Invitamos a toda persona , dondequiera que se encuentre , a leer el Libro de Mormón , a meditar en su corazón el mensaje que contiene y luego a preguntar a Dios , el Padre Eterno , en el nombre de Cristo , si el libro es verdadero . Quienes así lo hagan y pidan con fe lograrán un testimonio de la veracidad y la divinidad del libro por el poder del Espíritu Santo . ( Véase Moroni 10:3–5).
Those who gain this divine witness from the Holy Spirit will also come to know by the same power that Jesus Christ is the Savior of the world , that Joseph Smith is His revelator and prophet in these last days , and that The Church of Jesus Christ of Latter - day Saints is the Lord ’ s kingdom once again established on the earth , preparatory to the Second Coming of the Messiah . ||| Aquellos que obtengan este testimonio divino del Santo Espíritu también llegarán a saber , por el mismo poder , que Jesucristo es el Salvador del mundo , que José Smith ha sido Su revelador y profeta en estos últimos días , y que La Iglesia de Jesucristo de los Santos de los Últimos Días es el reino del Señor que de nuevo se ha establecido sobre la tierra , en preparación para la segunda venida del Mesías .
The Testimony of Three Witnesses ||| El Testimonio de Tres Testigos
